path,label_name,label_id
../locv3\absolute\v2-101989.png,absolute,0
../locv3\absolute\v2-102030.png,absolute,0
../locv3\absolute\v2-102031.png,absolute,0
../locv3\absolute\v2-102032.png,absolute,0
../locv3\absolute\v2-102033.png,absolute,0
../locv3\absolute\v2-102036.png,absolute,0
../locv3\absolute\v2-102037.png,absolute,0
../locv3\absolute\v2-102038.png,absolute,0
../locv3\absolute\v2-102039.png,absolute,0
../locv3\absolute\v2-102041.png,absolute,0
../locv3\absolute\v2-102042.png,absolute,0
../locv3\absolute\v2-102043.png,absolute,0
../locv3\absolute\v2-102044.png,absolute,0
../locv3\absolute\v2-102045.png,absolute,0
../locv3\absolute\v2-102046.png,absolute,0
../locv3\absolute\v2-102047.png,absolute,0
../locv3\absolute\v2-102048.png,absolute,0
../locv3\absolute\v2-102049.png,absolute,0
../locv3\absolute\v2-102050.png,absolute,0
../locv3\absolute\v2-102051.png,absolute,0
../locv3\absolute\v2-102052.png,absolute,0
../locv3\absolute\v2-102054.png,absolute,0
../locv3\absolute\v2-102055.png,absolute,0
../locv3\absolute\v2-102056.png,absolute,0
../locv3\absolute\v2-102057.png,absolute,0
../locv3\absolute\v2-102058.png,absolute,0
../locv3\absolute\v2-102059.png,absolute,0
../locv3\absolute\v2-102061.png,absolute,0
../locv3\absolute\v2-102062.png,absolute,0
../locv3\absolute\v2-102063.png,absolute,0
../locv3\absolute\v2-102064.png,absolute,0
../locv3\absolute\v2-102065.png,absolute,0
../locv3\absolute\v2-102066.png,absolute,0
../locv3\absolute\v2-102067.png,absolute,0
../locv3\absolute\v2-102068.png,absolute,0
../locv3\absolute\v2-102069.png,absolute,0
../locv3\absolute\v2-102070.png,absolute,0
../locv3\absolute\v2-102071.png,absolute,0
../locv3\absolute\v2-102073.png,absolute,0
../locv3\absolute\v2-102075.png,absolute,0
../locv3\absolute\v2-102076.png,absolute,0
../locv3\absolute\v2-102077.png,absolute,0
../locv3\absolute\v2-102078.png,absolute,0
../locv3\absolute\v2-102079.png,absolute,0
../locv3\absolute\v2-102080.png,absolute,0
../locv3\absolute\v2-102081.png,absolute,0
../locv3\absolute\v2-102082.png,absolute,0
../locv3\absolute\v2-102083.png,absolute,0
../locv3\absolute\v2-102084.png,absolute,0
../locv3\absolute\v2-102086.png,absolute,0
../locv3\absolute\v2-102087.png,absolute,0
../locv3\absolute\v2-102089.png,absolute,0
../locv3\absolute\v2-102090.png,absolute,0
../locv3\absolute\v2-102091.png,absolute,0
../locv3\absolute\v2-102092.png,absolute,0
../locv3\absolute\v2-102094.png,absolute,0
../locv3\absolute\v2-102095.png,absolute,0
../locv3\absolute\v2-102096.png,absolute,0
